DUID,FuelType,Region,Station,Max Capacity,BiddingScenario,FY19CF
BW01,Black Coal,NSW,BW,660,Bidding,0.6253
BW02,Black Coal,NSW,BW,660,Bidding,0.6032
BW03,Black Coal,NSW,BW,660,Bidding,0.7731
BW04,Black Coal,NSW,BW,660,Bidding,0.7646
ER01,Black Coal,NSW,ER,720,Bidding,0.7531
ER02,Black Coal,NSW,ER,720,Bidding,0.616
ER03,Black Coal,NSW,ER,720,Bidding,0.7144
ER04,Black Coal,NSW,ER,720,Bidding,0.7689
LD01,Black Coal,NSW,LD,450,Bidding,0.7244
LD02,Black Coal,NSW,LD,450,Bidding,0.6989
LD03,Black Coal,NSW,LD,450,Bidding,0.3912
LD04,Black Coal,NSW,LD,450,Bidding,0.541
MP1,Black Coal,NSW,MP,700,Bidding,0.4787
MP2,Black Coal,NSW,MP,700,Bidding,0.6457
VP5,Black Coal,NSW,VP,660,Bidding,0.5834
VP6,Black Coal,NSW,VP,660,Bidding,0.774
CALL_B_1,Black Coal,QLD,CALL_B,350,Bidding,0.8441
CALL_B_2,Black Coal,QLD,CALL_B,350,Bidding,0.7235
CPP_3,Black Coal,QLD,CPP,450,Bidding,0.7674
CPP_4,Black Coal,QLD,CPP,450,Bidding,0.807
GSTONE1,Black Coal,QLD,GSTONE,280,Bidding,0.5845
GSTONE2,Black Coal,QLD,GSTONE,280,Bidding,0.5153
GSTONE3,Black Coal,QLD,GSTONE,280,Bidding,0.5919
GSTONE4,Black Coal,QLD,GSTONE,280,Bidding,0.5817
GSTONE5,Black Coal,QLD,GSTONE,280,Bidding,0.5368
GSTONE6,Black Coal,QLD,GSTONE,280,Bidding,0.587
KPP_1,Black Coal,QLD,KPP,744,Bidding,0.9521
MPP_1,Black Coal,QLD,MPP,426,Bidding,0.8662
MPP_2,Black Coal,QLD,MPP,426,Bidding,0.7785
STAN-1,Black Coal,QLD,STAN,365,Bidding,0.6959
STAN-2,Black Coal,QLD,STAN,365,Bidding,0.672
STAN-3,Black Coal,QLD,STAN,365,Bidding,0.7235
STAN-4,Black Coal,QLD,STAN,365,Bidding,0.5751
TARONG#1,Black Coal,QLD,TARONG,350,Bidding,0.7302
TARONG#2,Black Coal,QLD,TARONG,350,Bidding,0.8149
TARONG#3,Black Coal,QLD,TARONG,350,Bidding,0.4876
TARONG#4,Black Coal,QLD,TARONG,350,Bidding,0.7595
TNPS1,Black Coal,QLD,TNPS1,443,Bidding,0.8125
LOYYB1,Brown Coal,VIC,LOYYB,535,Bidding,0.9895
LOYYB2,Brown Coal,VIC,LOYYB,535,Bidding,0.8342
LYA1,Brown Coal,VIC,LYA,560,Bidding,0.9522
LYA2,Brown Coal,VIC,LYA,530,Bidding,0.7105
LYA3,Brown Coal,VIC,LYA,560,Bidding,0.9145
LYA4,Brown Coal,VIC,LYA,560,Bidding,0.7039
YWPS1,Brown Coal,VIC,YWPS,382,Bidding,0.8009
YWPS2,Brown Coal,VIC,YWPS,382,Bidding,0.8036
YWPS3,Brown Coal,VIC,YWPS,382,Bidding,0.5371
YWPS4,Brown Coal,VIC,YWPS,382,Bidding,0.8866
BLOWERNG,Hydro,NSW,BLOWERNG,80,Trash,0.2382
GUTHEGA1,Hydro,NSW,GUTHEGA,34,Trash,0.2241
GUTHEGA2,Hydro,NSW,GUTHEGA,34,Trash,0.2241
HUMENSW,Hydro,NSW,HUMENSW,58,Trash,0.2065
