Date,QLD,NSW,VIC,SA,TAS
1/07/2018,63.89,74.62,92.13,151.21,83.82
1/07/2018,56.48,64.91,118.96,153.61,108.22
1/07/2018,53.2,60.8,85.68,139.34,77.28
1/07/2018,55.78,63.62,85.98,131.75,78.28
1/07/2018,54.46,62.12,66.41,112.67,61.2
1/07/2018,53.61,61.29,63.95,93.35,59.26
1/07/2018,53.5,61.63,63.73,82.18,60.22
1/07/2018,53.97,61.84,64.12,82.12,61.17
1/07/2018,56.36,63.62,65.24,78.96,62.88
1/07/2018,53.02,59.85,61.3,74.59,64.51
1/07/2018,51.96,58.14,59.7,71.85,62.81
1/07/2018,52.9,59.36,61.46,73.53,67.28
1/07/2018,54.71,61.22,64.7,76.93,68.13
1/07/2018,58.76,66.27,69.68,82.86,63.19
1/07/2018,54,60.29,62.3,73.24,57.49
1/07/2018,64.08,75.34,78.84,94.07,65.28
1/07/2018,72.24,86.66,89.95,102.98,70.5
1/07/2018,76.54,91.19,93.08,103.99,70.53
1/07/2018,84.87,102.08,105.11,119.14,70.52
1/07/2018,80.12,96.52,102.74,119.75,70.52
1/07/2018,76.72,90.36,97.3,111.58,70.49
1/07/2018,67.42,78.46,84.8,99.13,61.76
1/07/2018,57.63,63.23,67.51,79.2,57.4
1/07/2018,54.48,58.21,61.22,71.92,56.41
1/07/2018,53.77,57.06,60.33,70.45,56.9
1/07/2018,51.7,54.28,56.95,66.28,54.3
1/07/2018,51.09,52.76,54.66,61.76,51.24
1/07/2018,57.18,58.51,61.42,72.32,56.43
1/07/2018,54.72,55.79,58.36,67.24,54.05
1/07/2018,54.44,55.91,58.08,64.88,54.29
1/07/2018,59.84,61.8,64.78,73.26,59.65
1/07/2018,64.29,68.05,72.85,83.59,63.06
1/07/2018,69.14,77.08,82.94,94.87,60.09
1/07/2018,82.12,90.85,93.33,102.18,70.49
1/07/2018,142.28,162.46,163.99,177.11,70.5
1/07/2018,108.53,124.23,123.75,135.31,70.69
1/07/2018,103.83,120.54,123.37,143.21,72.34
1/07/2018,87.93,99.64,103.1,116.25,70.72
