YEAR,MONTH,DAY,PERIOD,Name,1,2,3,4,5,6,7,8,9
2018,7,1,1,BW01,311,659.981456,659.9996557,659.9999968,6.60E+02,6.60E+02,6.60E+02,6.60E+02,6.60E+02
2018,7,1,1,BW02,311,659.9796176,659.9996215,659.9999965,6.60E+02,6.60E+02,6.60E+02,6.60E+02,6.60E+02
2018,7,1,1,BW03,311,659.9902224,659.9998184,659.9999983,6.60E+02,6.60E+02,6.60E+02,6.60E+02,6.60E+02
2018,7,1,1,BW04,311,659.9801684,659.9996317,659.9999965,6.60E+02,6.60E+02,6.60E+02,6.60E+02,6.60E+02
2018,7,1,1,ER01,230,522.3394764,543.4587835,596.5143486,663.0705969,704.7626548,717.8040615,719.8411137,720
2018,7,1,1,ER02,230,573.8061236,589.4264069,628.6674176,677.8938173,708.7301393,718.3758377,719.8824844,720
2018,7,1,1,ER03,230,564.9849708,581.5477621,623.1565256,675.3531837,708.0501302,718.2778378,719.8753936,720
2018,7,1,1,ER04,230,564.9849708,581.5477621,623.1565256,675.3531837,708.0501302,718.2778378,719.8753936,720
2018,7,1,1,LD01,260,368.9731647,368.9742736,369.0086836,369.5418848,373.6676489,389.6089676,420.3664441,450
2018,7,1,1,LD02,260,368.9731647,368.9742736,369.0086836,369.5418848,373.6676489,389.6089676,420.3664441,450
2018,7,1,1,LD03,260,365.7518352,365.7529882,365.7887662,366.3431655,370.6329549,387.2080418,419.1883227,450
2018,7,1,1,LD04,260,362.7154873,362.7166818,362.7537493,363.3281295,367.7725251,384.9449868,418.0778537,450
2018,7,1,1,MP1,280,475.1453712,475.1461237,475.176817,475.8019327,482.1593959,514.4453737,596.3202474,700
2018,7,1,1,MP2,280,513.5033196,513.5039438,513.5294011,514.0478783,519.3208219,546.0991351,614.0069751,700
2018,7,1,1,VP5,250,550.4940553,550.4946678,550.5173073,550.9351748,554.7865522,572.5121206,613.2492923,660
2018,7,1,1,VP6,250,550.4940553,550.4946678,550.5173073,550.9351748,554.7865522,572.5121206,613.2492923,660
2018,7,1,1,CALL_B_1,175,199.8546888,237.4564143,292.3981355,332.4851171,347.0904365,349.7476435,349.9890485,350
2018,7,1,1,CALL_B_2,175,198.7808301,236.6514881,291.9861596,332.3598484,347.069627,349.7458386,349.9889702,350
2018,7,1,1,CPP_3,225,255.4608185,255.8526631,259.8352715,280.0481392,331.2746604,396.1035236,437.0718816,450
2018,7,1,1,CPP_4,225,256.8371689,257.2262412,261.180673,281.2505361,332.1146334,396.4848372,437.1633471,450
2018,7,1,1,GSTONE1,120,195.0419823,1.95E+02,195.0437022,195.0971793,195.9405851,202.5827877,228.7040563,280
2018,7,1,1,GSTONE2,120,189.580182,1.90E+02,189.5820126,189.6389276,190.5365544,197.6057724,225.406331,280
2018,7,1,1,GSTONE3,120,199.9887189,2.00E+02,199.9903387,200.040702,200.835,207.0904559,231.6907964,280
2018,7,1,1,GSTONE4,120,208.5658196,2.09E+02,208.5672658,208.6122302,209.3213805,214.9062601,236.8694774,280
2018,7,1,1,GSTONE5,120,199.9887189,2.00E+02,199.9903387,200.040702,200.835,207.0904559,231.6907964,280
2018,7,1,1,GSTONE6,120,207.2455427,2.07E+02,207.2470155,207.2928111,208.0150681,213.7031698,236.0723207,280
