YEAR,MONTH,DAY,PERIOD,Name,1,2,3,4,5,6,7,8,9,10
2018,7,1,1,BW01,-952.7,55,56.77,59.46,65.14,72.79,87.45,107.23,140,13639.6
2018,7,1,1,BW02,-952.7,55,56.77,59.46,65.14,72.79,87.45,107.23,140,13639.6
2018,7,1,1,BW03,-954.1,55,56.77,59.46,65.14,72.79,87.45,107.23,140,13659.6
2018,7,1,1,BW04,-954.1,55,56.77,59.46,65.14,72.79,87.45,107.23,140,13659.6
2018,7,1,1,ER01,-982.3,50.09,54.02,58.49,64.81,66.82,72.38,101.85,145.45,14062.4
2018,7,1,1,ER02,-982.3,49.42,54.51,57.99,61.33,67.21,71.4,104.88,145.34,14062.4
2018,7,1,1,ER03,-984.9,51.37,54.66,59.07,61.49,67.39,71.59,105.17,145.72,14099.1
2018,7,1,1,ER04,-984.9,50.04,54.66,59.08,61.49,67.39,71.59,105.17,145.72,14098.6
2018,7,1,1,LD01,-952,49.82,65.62,65.8,65.82,65.82,82.99,114.12,114.45,13629.5
2018,7,1,1,LD02,-952,49.59,65.62,65.8,65.82,65.82,82.99,114.12,114.45,13629.5
2018,7,1,1,LD03,-952,49.01,65.62,65.8,65.82,65.82,82.99,114.12,114.45,13629.5
2018,7,1,1,LD04,-952,49.98,65.62,65.8,65.82,65.82,82.99,114.12,114.45,13629.5
2018,7,1,1,MP1,-973,49.71,53.55,60.71,66.62,71.78,78.8,93.16,144.8,13043
2018,7,1,1,MP2,-973,51.27,53.55,60.71,66.62,71.78,78.8,93.16,144.8,13051.6
2018,7,1,1,VP5,-984.7,49.41,57.1,66.99,75.61,84.67,90.63,103.37,118.21,13754.7
2018,7,1,1,VP6,-984.7,50.88,57.1,66.99,75.61,84.67,93.39,103.24,118.21,13754.7
2018,7,1,1,CALL_B_1,-917,31.97,37.61,41.31,43.16,53.51,54.49,54.49,54.49,13123.4
2018,7,1,1,CALL_B_2,-917,30.36,37.61,41.31,43.16,53.51,54.49,54.49,54.49,13123.4
2018,7,1,1,CPP_3,-916,31.48,38,39.98,42.4,43.02,44,77.18,78.29,13113.2
2018,7,1,1,CPP_4,-916,31.82,38,39.98,42.4,43.02,44,77.18,78.29,13113.2
2018,7,1,1,GSTONE1,-935.7,32.41,46.9,50.67,56.11,59.81,72.75,79.9,98.77,13389.8
2018,7,1,1,GSTONE2,-935.7,33.43,46.9,50.67,56.11,59.81,72.75,79.9,98.77,13389.8
2018,7,1,1,GSTONE3,-932.6,36.44,46.9,50.67,56.11,59.81,72.75,79.9,98.77,13345.5
