YEAR,MONTH,DAY,PERIOD,Name,1,2,3,4,5,6,7,8,9,10
2018,7,1,1,BW01,311,348.981456,0.018199695,0.000341131,3.19E-06,1.49E-08,3.48E-11,4.06E-14,2.36E-17,0
2018,7,1,1,BW02,311,348.9796176,0.020003948,0.00037495,3.51E-06,1.64E-08,3.83E-11,4.46E-14,2.60E-17,0
2018,7,1,1,BW03,311,348.9902224,0.009596,0.000179865,1.68E-06,7.87E-09,1.84E-11,2.14E-14,1.25E-17,0
2018,7,1,1,BW04,311,348.9801684,0.019463332,0.000364817,3.41E-06,1.60E-08,3.72E-11,4.34E-14,2.53E-17,0
2018,7,1,1,ER01,230,292.3394764,21.1193071,53.05556508,66.5562483,41.69205788,13.04140675,2.037052203,0.158886313,0
2018,7,1,1,ER02,230,343.8061236,15.62028328,39.24101071,49.22639969,30.83632201,9.645698451,1.506646611,0.117515655,0
2018,7,1,1,ER03,230,334.9849708,16.56279133,41.60876345,52.19665811,32.69694651,10.22770764,1.597555753,0.124606401,0
2018,7,1,1,ER04,230,334.9849708,16.56279133,41.60876345,52.19665811,32.69694651,10.22770764,1.597555753,0.124606401,0
2018,7,1,1,LD01,260,108.9731647,0.00110888,0.034409989,0.533201247,4.12576412,15.94131865,30.75747649,29.63355593,0
2018,7,1,1,LD02,260,108.9731647,0.00110888,0.034409989,0.533201247,4.12576412,15.94131865,30.75747649,29.63355593,0
2018,7,1,1,LD03,260,105.7518352,0.001152965,0.035778003,0.554399371,4.289789356,16.57508695,31.98028085,30.81167733,0
2018,7,1,1,LD04,260,102.7154873,0.001194518,0.037067461,0.574380214,4.444395603,17.17246174,33.13286686,31.92214626,0
2018,7,1,1,MP1,280,195.1453712,0.000752546,0.030693294,0.625115653,6.357463184,32.28597778,81.8748737,103.6797526,0
2018,7,1,1,MP2,280,233.5033196,0.000624169,0.025457326,0.518477181,5.272943617,26.77831322,67.90783999,85.99302489,0
2018,7,1,1,VP5,250,300.4940553,0.000612496,0.022639546,0.417867494,3.851377368,17.72556835,40.73717177,46.75070765,0
2018,7,1,1,VP6,250,300.4940553,0.000612496,0.022639546,0.417867494,3.851377368,17.72556835,40.73717177,46.75070765,0
2018,7,1,1,CALL_B_1,175,24.85468877,37.60172556,54.9417212,40.08698154,14.60531947,2.657206927,0.241405022,0.010951506,0
2018,7,1,1,CALL_B_2,175,23.78083009,37.87065796,55.3346715,40.37368881,14.70977861,2.676211614,0.243131582,0.011029832,0
2018,7,1,1,CPP_3,225,30.46081847,0.391844627,3.982608434,20.21286762,51.22652123,64.82886322,40.96835803,12.92811837,0
2018,7,1,1,CPP_4,225,31.83716886,0.389072355,3.954431772,20.06986307,50.86409736,64.37020378,40.67850991,12.83665289,0
2018,7,1,1,GSTONE1,120,75.04198226,2.68E-05,0.001693189,0.053477075,0.843405784,6.642202553,26.1212686,51.29594377,0
2018,7,1,1,GSTONE2,120,69.58018204,2.85E-05,0.001802041,0.056915021,0.897626846,7.06921797,27.80055861,54.59366898,0
2018,7,1,1,GSTONE3,120,79.98871891,2.52E-05,0.001594602,0.050363337,0.794297926,6.255455926,24.6003405,48.30920359,0
2018,7,1,1,GSTONE4,120,88.56581963,2.25E-05,0.001423662,0.044964456,0.709150267,5.584879542,21.96321739,43.13052254,0
2018,7,1,1,GSTONE5,120,79.98871891,2.52E-05,0.001594602,0.050363337,0.794297926,6.255455926,24.6003405,48.30920359,0
2018,7,1,1,GSTONE6,120,87.24554267,2.29E-05,0.001449975,0.045795508,0.722257084,5.688101666,22.36915093,43.92767924,0
2018,7,1,1,KPP_1,362,35.36311411,38.55056698,94.80602143,116.4253851,71.39471341,21.86205768,3.342894162,0.255247106,0
2018,7,1,1,MPP_1,170,64.66353915,77.32307906,71.91634471,33.40047791,7.7461226,0.897062416,0.05187613,0.001498025,0
2018,7,1,1,MPP_2,170,63.55718807,77.77017874,72.33218142,33.5936071,7.790912448,0.902249436,0.052176089,0.001506687,0
2018,7,1,1,STAN-1,180,68.7441078,1.34E-05,0.001017755,0.038523236,0.728129933,6.872292138,32.3892544,76.22666131,0
2018,7,1,1,STAN-2,180,67.14642563,1.36E-05,0.001031742,0.039052654,0.738136481,6.966736715,32.83437364,77.27422953,0
2018,7,1,1,STAN-3,180,108.2672353,8.86E-06,0.000671752,0.02542662,0.480590031,4.535941928,21.37798774,50.31213781,0
2018,7,1,1,STAN-4,180,85.32465487,1.15E-05,0.000872602,0.033029009,0.624283217,5.892158046,27.76986224,65.35512851,0
2018,7,1,1,TARONG#1,175,29.65922906,9.048142359,29.53006644,48.12558624,39.16465016,15.91545577,3.229613251,0.327256715,0
2018,7,1,1,TARONG#2,175,27.96285275,9.153749714,29.87473301,48.68729446,39.62176887,16.10121646,3.267308382,0.331076362,0
2018,7,1,1,TARONG#3,175,4.64296614,10.60552166,34.61282402,56.40903149,45.90572618,18.65484695,3.785498937,0.383584612,0
2018,7,1,1,TARONG#4,175,32.1360362,8.893949537,29.02683339,47.30545989,38.49723052,15.64423446,3.174576188,0.321679809,0
2018,7,1,1,TNPS1,220,164.0086841,50.7422113,7.650971876,0.576063596,0.021658624,0.000406629,3.81E-06,1.78E-08,0
2018,7,1,1,LOYYB1,240,284.0440943,4.476398704,4.110671865,1.884965776,0.431619183,0.049351984,0.002817832,8.03E-05,0
2018,7,1,1,LOYYB2,240,284.2958546,4.373533701,4.016211049,1.841650374,0.421700829,0.048217905,0.00275308,7.85E-05,0
2018,7,1,1,LYA1,410,149.9982154,0.001757345,2.70E-05,2.07E-07,7.96E-10,1.52E-12,1.46E-15,6.95E-19,0
2018,7,1,1,LYA2,300,229.9949673,0.004955931,7.62E-05,5.85E-07,2.24E-09,4.30E-12,4.11E-15,1.96E-18,0
2018,7,1,1,LYA3,410,149.9981039,0.001867177,2.87E-05,2.20E-07,8.45E-10,1.62E-12,1.55E-15,7.39E-19,0
2018,7,1,1,LYA4,410,149.9984385,0.001537679,2.36E-05,1.82E-07,6.96E-10,1.33E-12,1.27E-15,6.08E-19,0
2018,7,1,1,YWPS1,216,22.78043573,48.79501328,54.42538246,30.31336497,8.430889885,1.170898624,0.081202946,0.002812101,0
2018,7,1,1,YWPS2,216,23.92730951,48.40427252,53.98955482,30.07062158,8.363376996,1.1615223,0.080552689,0.002789582,0
2018,7,1,1,YWPS3,228,20.16702009,45.59699693,50.85835273,28.32663251,7.878330886,1.094158139,0.075880919,0.002627796,0
2018,7,1,1,YWPS4,228,20.16702009,45.59699693,50.85835273,28.32663251,7.878330886,1.094158139,0.075880919,0.002627796,0
2018,7,1,1,BLOWERNG,0,10,10,10,10,10,10,10,10,0
2018,7,1,1,GUTHEGA1,0,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,0
2018,7,1,1,GUTHEGA2,0,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,0
2018,7,1,1,HUMENSW,,,,,,,,,,
2018,7,1,1,Lower Tumut,,,,,,,,,,
2018,7,1,1,SHGEN01,,,,,,,,,,
2018,7,1,1,SHGEN02,,,,,,,,,,
2018,7,1,1,SHGEN03,,,,,,,,,,
2018,7,1,1,SHGEN04,,,,,,,,,,
2018,7,1,1,Upper Tumut,0,77,77,77,77,77,77,77,77,0
2018,7,1,1,Barron Gorge,0,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,0
2018,7,1,1,BARRON-1,0,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,0
2018,7,1,1,BARRON-2,0,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,0
2018,7,1,1,Kareeya,0,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,0
2018,7,1,1,KAREEYA1,0,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,0
2018,7,1,1,KAREEYA2,0,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,0
2018,7,1,1,KAREEYA3,0,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,0
2018,7,1,1,KAREEYA4,0,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,0
2018,7,1,1,W/HOE#1,0,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,0
2018,7,1,1,W/HOE#2,0,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,0
2018,7,1,1,BOGONG1,,,,,,,,,,
2018,7,1,1,BOGONG2,,,,,,,,,,
2018,7,1,1,DARTM1,0,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,0
2018,7,1,1,EILDON1,0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0
2018,7,1,1,EILDON2,0,6.625,6.625,6.625,6.625,6.625,6.625,6.625,6.625,0
2018,7,1,1,HUMEV,0,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,0
2018,7,1,1,McKay Creek,0,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0
2018,7,1,1,Murray,0,188.75,188.75,188.75,188.75,188.75,188.75,188.75,188.75,0
2018,7,1,1,WKIEWA1,0,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,0
2018,7,1,1,WKIEWA2,0,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,0
2018,7,1,1,CG1,0,0,0.070603668,1.04715898,7.755406874,28.68158601,52.96736255,48.84500332,22.49254243,19.14033618
2018,7,1,1,CG2,0,0,0.070603668,1.04715898,7.755406874,28.68158601,52.96736255,48.84500332,22.49254243,19.14033618
2018,7,1,1,CG3,0,0,0.070603668,1.04715898,7.755406874,28.68158601,52.96736255,48.84500332,22.49254243,19.14033618
2018,7,1,1,CG4,0,0,0.070603668,1.04715898,7.755406874,28.68158601,52.96736255,48.84500332,22.49254243,19.14033618
2018,7,1,1,SITHE01,,,,,,,,,,
2018,7,1,1,SITHE02,,,,,,,,,,
2018,7,1,1,SITHE03,,,,,,,,,,
2018,7,1,1,SITHE04,,,,,,,,,,
2018,7,1,1,TALWA1,0,0,136.6979871,37.67282458,5.184428114,0.356270727,0.012225483,0.000209488,1.79E-06,260.0760527
2018,7,1,1,URANQ11,0,0,0.346620994,3.442218615,17.06980831,42.26933829,52.26715533,32.27296661,9.950743304,14.38114855
2018,7,1,1,URANQ12,0,0,0.346620994,3.442218615,17.06980831,42.26933829,52.26715533,32.27296661,9.950743304,14.38114855
2018,7,1,1,URANQ13,0,0,0.346620994,3.442218615,17.06980831,42.26933829,52.26715533,32.27296661,9.950743304,14.38114855
2018,7,1,1,URANQ14,0,0,0.346620994,3.442218615,17.06980831,42.26933829,52.26715533,32.27296661,9.950743304,14.38114855
2018,7,1,1,BARCALDN,0,0,4.757142857,4.757142857,4.757142857,4.757142857,4.757142857,4.757142857,4.757142857,3.7
2018,7,1,1,BRAEMAR1,0,18.59685536,0.009172271,0.208428386,2.365067146,13.40098418,37.91722309,53.57262943,37.7968852,4.132754934
2018,7,1,1,BRAEMAR2,0,18.59685536,0.009172271,0.208428386,2.365067146,13.40098418,37.91722309,53.57262943,37.7968852,4.132754934
2018,7,1,1,BRAEMAR3,0,18.59685536,0.009172271,0.208428386,2.365067146,13.40098418,37.91722309,53.57262943,37.7968852,4.132754934
2018,7,1,1,BRAEMAR5,0,18.64452832,0.009469468,0.215181819,2.44169933,13.83519879,39.14580539,55.30847343,39.02156834,4.378075111
2018,7,1,1,BRAEMAR6,0,18.64452832,0.009469468,0.215181819,2.44169933,13.83519879,39.14580539,55.30847343,39.02156834,4.378075111
2018,7,1,1,BRAEMAR7,0,18.64452832,0.009469468,0.215181819,2.44169933,13.83519879,39.14580539,55.30847343,39.02156834,4.378075111
2018,7,1,1,CPSA,41,83.81017208,0.054674164,0.50649585,2.343021312,5.412316646,6.243049302,3.595977305,1.034293343,0
2018,7,1,1,DDPS1,0,0,243.2979771,208.6792542,89.37718325,19.11527988,2.04146185,0.108870066,0.002899228,70.37707447
2018,7,1,1,OAKEY1,0,0,7.178188506,26.29676086,48.10566966,43.9437264,20.04490994,4.565811171,0.519324,22.34560946
2018,7,1,1,OAKEY2,0,0,7.178188506,26.29676086,48.10566966,43.9437264,20.04490994,4.565811171,0.519324,22.34560946
2018,7,1,1,ROMA_7,0,0,4.371428571,4.371428571,4.371428571,4.371428571,4.371428571,4.371428571,4.371428571,3.4
2018,7,1,1,ROMA_8,0,0,4.371428571,4.371428571,4.371428571,4.371428571,4.371428571,4.371428571,4.371428571,3.4
2018,7,1,1,SWAN_E,0,0,44.659776,100.1042673,112.0457148,62.62453613,17.47834881,2.435919275,0.169524312,25.48191336
2018,7,1,1,YABULU,0,0,51.25509376,54.54297749,28.98326195,7.69063662,1.01902287,0.067423638,0.00222765,16.43935602
2018,7,1,1,YABULU2,0,0,26.57021884,28.2746307,15.0246845,3.986762739,0.52825307,0.034951859,0.001154796,8.579343498
2018,7,1,1,YARWUN_1,118,9.412389937,0.07777904,0.856446523,4.709171808,12.92990785,17.72772206,12.13715919,4.149423592,0
2018,7,1,1,AGLSOM01,,,,,,,,,,
2018,7,1,1,AGLSOM02,,,,,,,,,,
2018,7,1,1,AGLSOM03,,,,,,,,,,
2018,7,1,1,AGLSOM04,,,,,,,,,,
2018,7,1,1,BDL01,0,0,27.27975455,9.884718725,1.788524043,0.161596466,0.007290806,0.000164258,1.85E-06,2.877949299
2018,7,1,1,BDL02,0,0,27.27975455,9.884718725,1.788524043,0.161596466,0.007290806,0.000164258,1.85E-06,2.877949299
2018,7,1,1,JLA01,0,0,0.000136458,0.005905903,0.127638534,1.377475546,7.423224511,19.97597123,26.84292399,0.246723835
2018,7,1,1,JLA02,0,0,0.000136458,0.005905903,0.127638534,1.377475546,7.423224511,19.97597123,26.84292399,0.246723835
2018,7,1,1,JLA03,0,0,0.000136458,0.005905903,0.127638534,1.377475546,7.423224511,19.97597123,26.84292399,0.246723835
2018,7,1,1,JLA04,0,0,0.000136458,0.005905903,0.127638534,1.377475546,7.423224511,19.97597123,26.84292399,0.246723835
2018,7,1,1,JLB01,0,0,0.198735497,1.90460461,9.114667413,21.78128166,25.9915779,15.487755,4.608407811,5.912970107
2018,7,1,1,JLB02,0,0,0.198735497,1.90460461,9.114667413,21.78128166,25.9915779,15.487755,4.608407811,5.912970107
2018,7,1,1,JLB03,0,0,0.198735497,1.90460461,9.114667413,21.78128166,25.9915779,15.487755,4.608407811,5.912970107
2018,7,1,1,LNGS1,0,0,4.636837488,20.80158759,46.59911821,52.12733534,29.11789405,8.121963015,1.131276234,7.463988073
2018,7,1,1,LNGS2,0,0,4.636837488,20.80158759,46.59911821,52.12733534,29.11789405,8.121963015,1.131276234,7.463988073
2018,7,1,1,MORTLK11,0,0,14.04247408,50.96447898,92.36302673,83.5863447,37.77279492,8.523726726,0.960476015,3.786677854
2018,7,1,1,MORTLK12,0,99.01409056,9.402756303,34.12550902,61.84572794,55.96891437,25.2924366,5.70743622,0.643128971,0
2018,7,1,1,NPS,0,0,5.26E-05,0.004050224,0.155840729,2.994260325,28.72795758,137.6342611,329.2721278,11.21144974
2018,7,1,1,VPGS1,0,0,0.513997615,3.361329119,10.9765935,17.89908103,14.5747293,5.926207719,1.203261033,1.544800683
2018,7,1,1,VPGS2,0,0,0.513997615,3.361329119,10.9765935,17.89908103,14.5747293,5.926207719,1.203261033,1.544800683
2018,7,1,1,VPGS3,0,0,0.513997615,3.361329119,10.9765935,17.89908103,14.5747293,5.926207719,1.203261033,1.544800683
2018,7,1,1,VPGS4,0,0,0.513997615,3.361329119,10.9765935,17.89908103,14.5747293,5.926207719,1.203261033,1.544800683
2018,7,1,1,VPGS5,0,0,0.513997615,3.361329119,10.9765935,17.89908103,14.5747293,5.926207719,1.203261033,1.544800683
2018,7,1,1,VPGS6,0,0,0.513997615,3.361329119,10.9765935,17.89908103,14.5747293,5.926207719,1.203261033,1.544800683
2018,7,1,1,AGLHAL01,,,,,,,,,,
2018,7,1,1,AGLHAL02,,,,,,,,,,
2018,7,1,1,AGLHAL03,,,,,,,,,,
2018,7,1,1,AGLHAL04,,,,,,,,,,
2018,7,1,1,AGLHAL05,,,,,,,,,,
2018,7,1,1,AGLHAL06,,,,,,,,,,
2018,7,1,1,AGLHAL07,,,,,,,,,,
2018,7,1,1,AGLHAL08,,,,,,,,,,
2018,7,1,1,AGLHAL09,,,,,,,,,,
2018,7,1,1,AGLHAL10,,,,,,,,,,
2018,7,1,1,AGLHAL11,,,,,,,,,,
2018,7,1,1,AGLHAL12,,,,,,,,,,
2018,7,1,1,Barker Inlet,,,,,,,,,,
2018,7,1,1,DRYCGT1,,,,,,,,,,
2018,7,1,1,DRYCGT2,,,,,,,,,,
2018,7,1,1,DRYCGT3,,,,,,,,,,
2018,7,1,1,LADBROK1,0,12.62570967,1.130759428,3.549546127,5.563934914,4.355097353,1.702238089,0.332238035,0.032380609,12.70809577
2018,7,1,1,LADBROK2,0,12.62570967,1.130759428,3.549546127,5.563934914,4.355097353,1.702238089,0.332238035,0.032380609,12.70809577
2018,7,1,1,MINTARO,,,,,,,,,,
2018,7,1,1,OSB-AG,0,137.8951674,2.56E-05,0.001368167,0.036609424,0.489162785,3.263777408,10.87412359,18.09150128,17.34826443
2018,7,1,1,PPCCGT,0,0,353.2801704,59.58012694,5.017532532,0.211001518,0.004430856,4.64E-05,2.43E-07,55.90669112
2018,7,1,1,QPS1,0,0,1.484848286,4.54163112,6.936625405,5.290433223,2.014841287,0.383174903,0.036388142,3.312057633
2018,7,1,1,QPS2,0,0,1.484848286,4.54163112,6.936625405,5.290433223,2.014841287,0.383174903,0.036388142,3.312057633
2018,7,1,1,QPS3,0,0,1.484848286,4.54163112,6.936625405,5.290433223,2.014841287,0.383174903,0.036388142,3.312057633
2018,7,1,1,QPS4,0,0,1.484848286,4.54163112,6.936625405,5.290433223,2.014841287,0.383174903,0.036388142,3.312057633
2018,7,1,1,QPS5,0,0,6.745191792,20.63118047,31.51087502,24.03274941,9.152780823,1.740641273,0.165299714,30.0212815
2018,7,1,1,TORRA1,0,0,12.13918681,30.99379732,39.51541909,25.1573566,7.997790599,1.269643116,0.100646785,2.826159688
2018,7,1,1,TORRA2,0,0,12.13918681,30.99379732,39.51541909,25.1573566,7.997790599,1.269643116,0.100646785,2.826159688
2018,7,1,1,TORRA3,0,0,12.13918681,30.99379732,39.51541909,25.1573566,7.997790599,1.269643116,0.100646785,2.826159688
2018,7,1,1,TORRA4,0,0,12.13918681,30.99379732,39.51541909,25.1573566,7.997790599,1.269643116,0.100646785,2.826159688
2018,7,1,1,TORRB1,0,0,101.7799213,38.45971987,7.256993474,0.683776165,0.03217198,0.000755872,8.87E-06,51.78665251
2018,7,1,1,TORRB2,0,0,101.7799213,38.45971987,7.256993474,0.683776165,0.03217198,0.000755872,8.87E-06,51.78665251
2018,7,1,1,TORRB3,0,0,101.7799213,38.45971987,7.256993474,0.683776165,0.03217198,0.000755872,8.87E-06,51.78665251
2018,7,1,1,TORRB4,0,0,101.7799213,38.45971987,7.256993474,0.683776165,0.03217198,0.000755872,8.87E-06,51.78665251
2018,7,1,1,BBTHREE1,,,,,,,,,,
2018,7,1,1,BBTHREE2,,,,,,,,,,
2018,7,1,1,BBTHREE3,,,,,,,,,,
2018,7,1,1,TVCC201,,,,,,,,,,
2018,7,1,1,TVPP104,,,,,,,,,,
2018,7,1,1,HVGTS1,,,,,,,,,,
2018,7,1,1,HVGTS2,,,,,,,,,,
2018,7,1,1,MACKAYGT,,,,,,,,,,
2018,7,1,1,MSTUART1,,,,,,,,,,
2018,7,1,1,MSTUART2,,,,,,,,,,
2018,7,1,1,MSTUART3,,,,,,,,,,
2018,7,1,1,ANGAS1,,,,,,,,,,
2018,7,1,1,ANGAS2,,,,,,,,,,
2018,7,1,1,LONSDALE,,,,,,,,,,
2018,7,1,1,POR01,,,,,,,,,,
2018,7,1,1,POR03,,,,,,,,,,
2018,7,1,1,PTSTAN1,,,,,,,,,,
2018,7,1,1,SATGN1,,,,,,,,,,
2018,7,1,1,SATGS1,,,,,,,,,,
2018,7,1,1,SNUG1,,,,,,,,,,
2018,7,1,1,SNUG2,,,,,,,,,,
2018,7,1,1,SNUG3,,,,,,,,,,
2018,7,1,1,BOCORWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,BODWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CAPTL_WF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CROOKWF2,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CULLRGWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,GULLRWF1,0,2.27,0,0,0,0,0,0,0,0
2018,7,1,1,GUNNING1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,SAPHWF1,0,1.5,0,0,0,0,0,0,0,0
2018,7,1,1,STWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,TARALGA1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,WOODLWN1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,WRWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,Coopers Gap WF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,Kennedy Energy Park Wind,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,MEWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,ARWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,BALDHWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,BULGANAWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CHALLHWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CROWLWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,KIATAWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,MACARTH1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,MERCER01,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,MLWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,Moorabool WF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,MTGELWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,MUWAWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,OAKLAND1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,Portland 2,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,Portland 3,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,Portland 4,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,SALTCRK1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,Stockyard Hill WF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,WAUBRAWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,YAMBUKWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,BLUFF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CATHROCK,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CLEMGPWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CNUNDAWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,HALLWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,HALLWF2,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,HDWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,HDWF2,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,HDWF3,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,LGAPWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,LKBONNY1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,LKBONNY2,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,LKBONNY3,0,1,0,0,0,0,0,0,0,0
