YEAR,MONTH,DAY,PERIOD,Name,1,2,3,4,5,6,7,8,9,10
2018,7,1,1,BW01,311,36,38,38,38,38,38,38,38,0
2018,7,1,1,BW02,311,33,37,37,37,37,37,37,37,0
2018,7,1,1,BW03,311,57,38,38,38,38,38,38,38,0
2018,7,1,1,BW04,311,33,36,36,36,36,36,36,36,0
2018,7,1,1,ER01,230,103,41,41,41,41,41,41,41,0
2018,7,1,1,ER02,230,146,41,41,41,41,41,41,41,0
2018,7,1,1,ER03,230,137,41,41,41,41,41,41,41,0
2018,7,1,1,ER04,230,137,41,41,41,41,41,41,41,0
2018,7,1,1,LD01,260,23,14,14,14,14,14,14,14,0
2018,7,1,1,LD02,260,23,14,14,14,14,14,14,14,0
2018,7,1,1,LD03,260,23,15,15,15,15,15,15,15,0
2018,7,1,1,LD04,260,23,16,16,16,16,16,16,16,0
2018,7,1,1,MP1,280,88,40,40,40,40,40,40,40,0
2018,7,1,1,MP2,280,120,40,40,40,40,40,40,40,0
2018,7,1,1,VP5,250,146,38,38,38,38,38,38,38,0
2018,7,1,1,VP6,250,146,38,38,38,38,38,38,38,0
2018,7,1,1,CALL_B_1,175,18,19,19,19,19,19,19,19,0
2018,7,1,1,CALL_B_2,175,18,20,20,20,20,20,20,20,0
2018,7,1,1,CPP_3,225,23,20,20,20,20,20,20,20,0
2018,7,1,1,CPP_4,225,23,19,19,19,19,19,19,19,0
2018,7,1,1,GSTONE1,120,28,16,16,16,16,16,16,16,0
2018,7,1,1,GSTONE2,120,25,16,16,16,16,16,16,16,0
2018,7,1,1,GSTONE3,120,31,16,16,16,16,16,16,16,0
2018,7,1,1,GSTONE4,120,37,16,16,16,16,16,16,16,0
2018,7,1,1,GSTONE5,120,31,16,16,16,16,16,16,16,0
2018,7,1,1,GSTONE6,120,36,16,16,16,16,16,16,16,0
2018,7,1,1,KPP_1,362,68,43,43,43,43,43,43,43,0
2018,7,1,1,MPP_1,170,79,24,24,24,24,24,24,24,0
2018,7,1,1,MPP_2,170,77,24,24,24,24,24,24,24,0
2018,7,1,1,STAN-1,180,18,20,20,20,20,20,20,20,0
